,company,Job_title,application_1,followers,state,city,country,industry,employees,involment,level,company_id,job_id,details_id,Job_description,technical_skills,job class
0,HP,College Intern,200,5147943,Karnataka,Bengaluru,India,IT Services and IT Consulting,10001,Full-time , Internship,C77,J0,D0,"About the job
Responsibilities
Intern will be associated with Project where there will be preparation of financial statements.
They will be responsible to standardize and centralize all the client audit schedules report preparation.
Will be supporting the work for statutory audits & also prepare and standardize financial statements.
Need Good communication skills



Enrolled in University.



You’re out to reimagine and reinvent what’s possible—in your career as well as the world around you.

So are we. We love taking on tough challenges, disrupting the status quo, and creating what’s next. We’re in search of talented people who are inspired by big challenges, driven to learn and grow, and dedicated to making a meaningful difference.

HP is a technology company that operates in more than 170 countries around the world united in creating technology that makes life better for everyone, everywhere.

Our history: HP’s commitment to diversity, equity and inclusion – it's just who we are.

From the boardroom to factory floor, we create a culture where everyone is respected and where people can be themselves, while being a part of something bigger than themselves. We celebrate the notion that you can belong at HP and bring your authentic self to work each and every day. When you do that, you’re more innovative and that helps grow our bottom line. Come to HP and thrive!","django,excel,flask",Class 2
1,PwC,Associate,200,4799360,Karnataka,Bengaluru,India,Accounting,10001,Full-time , Associate,C137,J2,D2,"About the job
Line of Service
Tax

Industry/Sector
Not Applicable

Specialism
Entrepreneurial & Private Business (EPB) - General

Management Level
Associate

Job Description & Summary
A career in our Accounting and Tax Reporting practice, within PwC Private, will provide you with the opportunity to help private companies with a range of business advisory services to resolve their day-to-day business issues and to help them achieve long-term success. You will advise clients on their local tax affairs, while acting as a strategic consultant, and will help them manage their tax obligations across unique but ever changing tax specialties. Our team helps our clients with accounting and complex tax reporting. You will focus on planning and executing notice to reader and review engagements; drafting and filing local financial statements; reviewing personal trust and corporate income tax returns, and other tax reporting forms; and will assist with year-end planning and bookkeeping.

Our PwC Private teams help entrepreneurs, private business owners and family enterprises manage their ownership and growth at every stage, in a way that fits the needs of their business in today's changing global landscape.


To really stand out and make us fit for the future in a constantly changing world, each and every one of us at PwC needs to be a purpose-led and values-driven leader at every level. To help us achieve this we have the PwC Professional; our global leadership development framework. It gives us a single set of expectations across our lines, geographies and career paths, and provides transparency on the skills we need as individuals to be successful and progress in our careers, now and in the future.

As an Associate, you'll work as part of a team of problem solvers, helping to solve complex business issues from strategy to execution. PwC Professional skills and responsibilities for this management level include but are not limited to:

Invite and give in the moment feedback in a constructive manner.
Share and collaborate effectively with others.
Identify and make suggestions for improvements when problems and/or opportunities arise.
Handle, manipulate and analyse data and information responsibly.
Follow risk management and compliance procedures.
Keep up-to-date with developments in area of specialism.
Communicate confidently in a clear, concise and articulate manner - verbally and in the materials I produce.
Build and maintain an internal and external network.
Seek opportunities to learn about how PwC works as a global network of firms.
Uphold the firm's code of ethics and business conduct.


1. Good accounting knowledge
2. Brief knowledge of GST
3. Good communications skill
4. MS Office (good knowledge of MS Excel)
5. Knowledge in any accounting software would be added advantage

Education (if blank, degree and/or field of study not specified)
Degrees/Field of Study required:

Degrees/Field of Study preferred:

Certifications (if blank, certifications not specified)

Required Skills

Optional Skills

Desired Languages (If blank, desired languages not specified)

Travel Requirements
0%

Available for Work Visa Sponsorship?
No

Government Clearance Required?
No

Job Posting End Date","mysql,flask,excel,java",Class 2
2,PwC,Associate,154,4799359,Karnataka,Bengaluru,India,Accounting,10001,Full-time , Associate,C137,J3,D3,"About the job
Line of Service
Tax

Industry/Sector
Not Applicable

Specialism
Entrepreneurial & Private Business (EPB) - General

Management Level
Associate

Job Description & Summary
A career in our Accounting and Tax Reporting practice, within PwC Private, will provide you with the opportunity to help private companies with a range of business advisory services to resolve their day-to-day business issues and to help them achieve long-term success. You will advise clients on their local tax affairs, while acting as a strategic consultant, and will help them manage their tax obligations across unique but ever changing tax specialties. Our team helps our clients with accounting and complex tax reporting. You will focus on planning and executing notice to reader and review engagements; drafting and filing local financial statements; reviewing personal trust and corporate income tax returns, and other tax reporting forms; and will assist with year-end planning and bookkeeping.

Our PwC Private teams help entrepreneurs, private business owners and family enterprises manage their ownership and growth at every stage, in a way that fits the needs of their business in today's changing global landscape.


To really stand out and make us fit for the future in a constantly changing world, each and every one of us at PwC needs to be a purpose-led and values-driven leader at every level. To help us achieve this we have the PwC Professional; our global leadership development framework. It gives us a single set of expectations across our lines, geographies and career paths, and provides transparency on the skills we need as individuals to be successful and progress in our careers, now and in the future.

As an Associate, you'll work as part of a team of problem solvers, helping to solve complex business issues from strategy to execution. PwC Professional skills and responsibilities for this management level include but are not limited to:

Invite and give in the moment feedback in a constructive manner.
Share and collaborate effectively with others.
Identify and make suggestions for improvements when problems and/or opportunities arise.
Handle, manipulate and analyse data and information responsibly.
Follow risk management and compliance procedures.
Keep up-to-date with developments in area of specialism.
Communicate confidently in a clear, concise and articulate manner - verbally and in the materials I produce.
Build and maintain an internal and external network.
Seek opportunities to learn about how PwC works as a global network of firms.
Uphold the firm's code of ethics and business conduct.


1. Good accounting knowledge
2. Brief knowledge of GST
3. Good communications skill
4. MS Office (good knowledge of MS Excel)
5. Knowledge in any accounting software would be added advantage

Education (if blank, degree and/or field of study not specified)
Degrees/Field of Study required:

Degrees/Field of Study preferred:

Certifications (if blank, certifications not specified)

Required Skills

Optional Skills

Desired Languages (If blank, desired languages not specified)

Travel Requirements
0%

Available for Work Visa Sponsorship?
No

Government Clearance Required?
No

Job Posting End Date","mysql,flask,excel,java",Class 2
3,PwC,Associate,36,4799359,West Bengal,Kolkata,India,Accounting,10001,Full-time , Associate,C137,J4,D4,"About the job
Line of Service
Advisory

Industry/Sector
Not Applicable

Specialism
Operations

Management Level
Associate

Job Description & Summary
A career within SAP Consulting services, will provide you with the opportunity to help our clients maximise the value of their SAP investment with offerings that address sales, finance, supply chain, engineering, and human capital. We provide comprehensive consulting, system integration and implementation services across multiple SAP applications, products and technologies. Simply put, we focus on delivering business led, technology enabled change for our clients including industry specific enterprise resource planning and the latest in mobile, analytics and cloud solutions.


SAP MM JD:
Con / Sr Con level:
Experience required – 2 to 8 years in SAP MM
Education – BE/BTech/ME/MTech/MBA/MCA/ any 2 yrs fulltime regular PG degrees. Should NOT have
more than 2 years of continuous gap in education/ career (except maternity reasons).
2 Full life cycle implementations at Con level, 4 for Senior Con level.
Need the below experience:
1. Strong experience in working with MM-FI Integration(OBYC).
2. Strong experience in working with Split valuation(Valuation Structure)
3. Strong experience in Pricing Procedure configuration.
4. Strong experience in external Service procurement.
5. Strong experience in Vendor Consignment, Customer Consignment and Valuated Stock in Transient.
6. Strong experience in SAP Business Partner Data Model.

Mandatory skill sets- SAP MM
Preferred skill sets - SAP MM
Year of experience required -2-4y
Qualifications- Education criteria - B.TECH/M.TECH/B.E/M.E/MCA/MBA/FULLTIME PG 2 YRS DEGREE



Education (if blank, degree and/or field of study not specified)
Degrees/Field of Study required:

Degrees/Field of Study preferred:

Certifications (if blank, certifications not specified)

Required Skills
SAPFICO

Optional Skills

Desired Languages (If blank, desired languages not specified)

Travel Requirements
Not Specified

Available for Work Visa Sponsorship?
No

Government Clearance Required?
No

Job Posting End Date
December 16, 2022","mysql,flask,excel,java",Class 2
4,PwC India,Associate,79,926766,West Bengal,Kolkata,India,Business Consulting and Services,10000,Full-time , Entry level,C138,J5,D5,"About the job
Line of Service

Advisory

Industry/Sector

Not Applicable

Specialism

Operations

Management Level

Associate

Job Description & Summary

A career within SAP Consulting services, will provide you with the opportunity to help our clients maximise the value of their SAP investment with offerings that address sales, finance, supply chain, engineering, and human capital. We provide comprehensive consulting, system integration and implementation services across multiple SAP applications, products and technologies. Simply put, we focus on delivering business led, technology enabled change for our clients including industry specific enterprise resource planning and the latest in mobile, analytics and cloud solutions.

Sap Mm Jd

Con / Sr Con level:

Experience Required – 2 To 8 Years In SAP MM

Education – BE/BTech/ME/MTech/MBA/MCA/ any 2 yrs fulltime regular PG degrees. Should NOT have

more than 2 years of continuous gap in education/ career (except maternity reasons).

2 Full life cycle implementations at Con level, 4 for Senior Con level.

Need The Below Experience

Strong experience in working with MM-FI Integration(OBYC).
Strong experience in working with Split valuation(Valuation Structure)
Strong experience in Pricing Procedure configuration.
Strong experience in external Service procurement.
Strong experience in Vendor Consignment, Customer Consignment and Valuated Stock in Transient.
Strong experience in SAP Business Partner Data Model.

Mandatory skill sets- SAP MM

Preferred Skill Sets - SAP MM

Year of experience required -2-4y

Qualifications- Education Criteria - B.TECH/M.TECH/B.E/M.E/MCA/MBA/FULLTIME PG 2 YRS DEGREE

Education (if blank, degree and/or field of study not specified)

Degrees/Field Of Study Required

Degrees/Field of Study preferred:

Certifications (if blank, certifications not specified)

Required Skills

SAPFICO

Optional Skills

Desired Languages (If blank, desired languages not specified)

Travel Requirements

Not Specified

Available for Work Visa Sponsorship?

No

Government Clearance Required?

No

Job Posting End Date

December 16, 2022","mysql,flask,excel,java",Class 3
5,PwC India,Associate,69,926766,Haryana,Gurugram,India,Business Consulting and Services,10000,Full-time , Entry level,C138,J6,D6,"About the job
Line of Service

Advisory

Industry/Sector

Not Applicable

Specialism

Operations

Management Level

Associate

Job Description & Summary

A career within SAP Consulting services, will provide you with the opportunity to help our clients maximise the value of their SAP investment with offerings that address sales, finance, supply chain, engineering, and human capital. We provide comprehensive consulting, system integration and implementation services across multiple SAP applications, products and technologies. Simply put, we focus on delivering business led, technology enabled change for our clients including industry specific enterprise resource planning and the latest in mobile, analytics and cloud solutions.

Functional experience with SSAP SD, SAP FI, OTC Cross Functional; SAP S4HANA

certification, training or hands-on project experience; Minimum of 1 full lifecycle SAP

implementation; Cross Functional knowledge in ERP and legacy systems; Experience in

S/4 HANA Sales (SD) along with knowledge of interface between S/4 and other

applications; Proven ability to work creatively and analytically in a problem-solving

environment; SAP HANA Cloud project experience;

For manger -At least Two 2 end to end implementations and project

Mandatory Skills

Management experience is also required.

SAP SD , SAP ABAP

Minimum Years Experience Required

5 Years

Additional Application Instructions

NA

Education (if blank, degree and/or field of study not specified)

Degrees/Field Of Study Required

Degrees/Field of Study preferred:

Certifications (if blank, certifications not specified)

Required Skills

SAP ABAP, SAP SD Module

Optional Skills

Desired Languages (If blank, desired languages not specified)

Travel Requirements

Available for Work Visa Sponsorship?

Government Clearance Required?

Job Posting End Date","mysql,flask,excel,java",Class 3
6,PwC,Associate,161,4799362,Telangana,Hyderabad,India,Accounting,10001,Full-time , Associate,C137,J14,D14,"About the job
Line of Service
Tax

Industry/Sector
Not Applicable

Specialism
Entrepreneurial & Private Business (EPB) - General

Management Level
Associate

Job Description & Summary
A career in our Accounting and Tax Reporting practice, within PwC Private, will provide you with the opportunity to help private companies with a range of business advisory services to resolve their day-to-day business issues and to help them achieve long-term success. You will advise clients on their local tax affairs, while acting as a strategic consultant, and will help them manage their tax obligations across unique but ever changing tax specialties. Our team helps our clients with accounting and complex tax reporting. You will focus on planning and executing notice to reader and review engagements; drafting and filing local financial statements; reviewing personal trust and corporate income tax returns, and other tax reporting forms; and will assist with year-end planning and bookkeeping.

Our PwC Private teams help entrepreneurs, private business owners and family enterprises manage their ownership and growth at every stage, in a way that fits the needs of their business in today's changing global landscape.


To really stand out and make us fit for the future in a constantly changing world, each and every one of us at PwC needs to be a purpose-led and values-driven leader at every level. To help us achieve this we have the PwC Professional; our global leadership development framework. It gives us a single set of expectations across our lines, geographies and career paths, and provides transparency on the skills we need as individuals to be successful and progress in our careers, now and in the future.

As an Associate, you'll work as part of a team of problem solvers, helping to solve complex business issues from strategy to execution. PwC Professional skills and responsibilities for this management level include but are not limited to:

Invite and give in the moment feedback in a constructive manner.
Share and collaborate effectively with others.
Identify and make suggestions for improvements when problems and/or opportunities arise.
Handle, manipulate and analyse data and information responsibly.
Follow risk management and compliance procedures.
Keep up-to-date with developments in area of specialism.
Communicate confidently in a clear, concise and articulate manner - verbally and in the materials I produce.
Build and maintain an internal and external network.
Seek opportunities to learn about how PwC works as a global network of firms.
Uphold the firm's code of ethics and business conduct.


1. Good accounting knowledge
2. Brief knowledge of GST
3. Good communications skill
4. MS Office (good knowledge of MS Excel)
5. Knowledge in any accounting software would be added advantage

Education (if blank, degree and/or field of study not specified)
Degrees/Field of Study required:

Degrees/Field of Study preferred:

Certifications (if blank, certifications not specified)

Required Skills

Optional Skills

Desired Languages (If blank, desired languages not specified)

Travel Requirements
0%

Available for Work Visa Sponsorship?
No

Government Clearance Required?
No

Job Posting End Date","mysql,flask,excel,java",Class 2
7,PwC,Associate,97,4799364,West Bengal,Kolkata,India,Accounting,10001,Full-time , Associate,C137,J15,D15,"About the job
Line of Service
Tax

Industry/Sector
Not Applicable

Specialism
Entrepreneurial & Private Business (EPB) - General

Management Level
Associate

Job Description & Summary
A career in our Accounting and Tax Reporting practice, within PwC Private, will provide you with the opportunity to help private companies with a range of business advisory services to resolve their day-to-day business issues and to help them achieve long-term success. You will advise clients on their local tax affairs, while acting as a strategic consultant, and will help them manage their tax obligations across unique but ever changing tax specialties. Our team helps our clients with accounting and complex tax reporting. You will focus on planning and executing notice to reader and review engagements; drafting and filing local financial statements; reviewing personal trust and corporate income tax returns, and other tax reporting forms; and will assist with year-end planning and bookkeeping.

Our PwC Private teams help entrepreneurs, private business owners and family enterprises manage their ownership and growth at every stage, in a way that fits the needs of their business in today's changing global landscape.


To really stand out and make us fit for the future in a constantly changing world, each and every one of us at PwC needs to be a purpose-led and values-driven leader at every level. To help us achieve this we have the PwC Professional; our global leadership development framework. It gives us a single set of expectations across our lines, geographies and career paths, and provides transparency on the skills we need as individuals to be successful and progress in our careers, now and in the future.

As an Associate, you'll work as part of a team of problem solvers, helping to solve complex business issues from strategy to execution. PwC Professional skills and responsibilities for this management level include but are not limited to:

Invite and give in the moment feedback in a constructive manner.
Share and collaborate effectively with others.
Identify and make suggestions for improvements when problems and/or opportunities arise.
Handle, manipulate and analyse data and information responsibly.
Follow risk management and compliance procedures.
Keep up-to-date with developments in area of specialism.
Communicate confidently in a clear, concise and articulate manner - verbally and in the materials I produce.
Build and maintain an internal and external network.
Seek opportunities to learn about how PwC works as a global network of firms.
Uphold the firm's code of ethics and business conduct.


1. Good accounting knowledge
2. Brief knowledge of GST
3. Good communications skill
4. MS Office (good knowledge of MS Excel)
5. Knowledge in any accounting software would be added advantage

Education (if blank, degree and/or field of study not specified)
Degrees/Field of Study required:

Degrees/Field of Study preferred:

Certifications (if blank, certifications not specified)

Required Skills

Optional Skills

Desired Languages (If blank, desired languages not specified)

Travel Requirements
0%

Available for Work Visa Sponsorship?
No

Government Clearance Required?
No

Job Posting End Date","mysql,flask,excel,java",Class 2
8,PwC,Associate,200,4799364,Haryana,Gurugram,India,Accounting,10001,Full-time , Associate,C137,J16,D16,"About the job
Line of Service
Advisory

Industry/Sector
Not Applicable

Specialism
Operations

Management Level
Associate

Job Description & Summary
A career in our New Technologies practice, within Application and Emerging Technology services, will provide you with a unique opportunity to help our clients identify and prioritise emerging technologies that can help solve their business problems. We help clients design approaches to integrate new technologies, skills, and processes so they can drive business results and innovation.

Our team helps organisations to embrace emerging technologies to remain competitive and improve their business by solving complex questions. Our team focuses on identifying and prioritising emerging technologies, breaking into new markets, and preparing clients to get the most out of their emerging technology investments.


To really stand out and make us fit for the future in a constantly changing world, each and every one of us at PwC needs to be a purpose-led and values-driven leader at every level. To help us achieve this we have the PwC Professional; our global leadership development framework. It gives us a single set of expectations across our lines, geographies and career paths, and provides transparency on the skills we need as individuals to be successful and progress in our careers, now and in the future.

As an Associate, you'll work as part of a team of problem solvers, helping to solve complex business issues from strategy to execution. PwC Professional skills and responsibilities for this management level include but are not limited to:

Invite and give in the moment feedback in a constructive manner.
Share and collaborate effectively with others.
Identify and make suggestions for improvements when problems and/or opportunities arise.
Handle, manipulate and analyse data and information responsibly.
Follow risk management and compliance procedures.
Keep up-to-date with developments in area of specialism.
Communicate confidently in a clear, concise and articulate manner - verbally and in the materials I produce.
Build and maintain an internal and external network.
Seek opportunities to learn about how PwC works as a global network of firms.
Uphold the firm's code of ethics and business conduct.


Education (if blank, degree and/or field of study not specified)
Degrees/Field of Study required:

Degrees/Field of Study preferred:

Certifications (if blank, certifications not specified)

Required Skills

Optional Skills

Desired Languages (If blank, desired languages not specified)

Travel Requirements
Not Specified

Available for Work Visa Sponsorship?
No

Government Clearance Required?
No

Job Posting End Date","mysql,flask,excel,java",Class 2
9,PwC,Associate,39,4799367,West Bengal,Kolkata,India,Accounting,10001,Full-time , Associate,C137,J45,D45,"About the job
Line of Service
Advisory

Industry/Sector
FS X-Sector

Specialism
Operations

Management Level
Associate

Job Description & Summary
A career within Cybersecurity and Privacy services, will provide you with the opportunity to help our clients implement an effective cybersecurity programme that protects against threats, propels transformation, and drives growth. As companies pivot toward a digital business model, exponentially more data is generated and shared among organisations, partners and customers. We play an integral role in helping our clients ensure they are protected by developing transformation strategies focused on security, efficiently integrate and manage new or existing technology systems to deliver continuous operational improvements and increase their cybersecurity investment, and detect, respond, and remediate threats.


Educational Qualifications: B.com/ CA/ MBA (Finance Background)/BE BTech.
 Minimum 3-8 years of relevant experience
 Depends on experience
 Excellent Knowledge on Finance and Accounting, Sales and Distribution, Material management
 Experience in SAP ERP
 Experience in SAP End User
 Understanding business process flow
 Ability to multi- task and switch context to changing priorities in a highly dynamic environment
 Excellent troubleshooting skills
 Experience in working with customer directly
 Proficient in written and spoken English

Mandatory skill sets- SAP End User

Preferred skill sets -Risk Consulting

Year of experience required -3-8 years
Qualifications- Bcom/Mcom/Btech/Mtech/Mba

Education (if blank, degree and/or field of study not specified)
Degrees/Field of Study required:

Degrees/Field of Study preferred:

Certifications (if blank, certifications not specified)

Required Skills
SAP Governance Risk and Compliance (SAP GRC)

Optional Skills
Cybersecurity

Desired Languages (If blank, desired languages not specified)

Travel Requirements
Not Specified

Available for Work Visa Sponsorship?
No

Government Clearance Required?
No

Job Posting End Date","mysql,flask,excel,java",Class 2
